NUMBER_OF_WORKERS;EPOCHES;BATCH_SIZE_PER_WORKER;SEED;USE_GPU;ACCURACY;LOSS;VAL_ACCURACY;VAL_LOSS;TOTAL_TIME
1;10;32;123;False;0.77;0.59;0.72;0.8;00:04:55
2;10;32;123;False;0.7;0.76;0.62;0.94;00:04:05
4;10;32;123;False;0.67;0.87;0.59;1.02;00:03:59
1;10;16;123;False;0.76;0.62;0.73;0.7;00:04:43
2;10;16;123;False;0.73;0.72;0.69;0.83;00:04:21
4;10;16;123;False;0.68;0.82;0.65;0.89;00:04:20
1;10;64;123;False;0.72;0.7;0.71;0.84;00:04:22
2;10;64;123;False;0.7;0.79;0.64;0.97;00:03:53
4;10;64;123;False;0.65;0.9;0.52;0.94;00:03:51
4;10;32;123;False;0.63;0.95;0.55;0.98;0:3:46
